Lambda,Stress_Paetsch(Pa),Stress_Zhao(Pa)
1,0,0
1.002,527.71,2879.24
1.004,1060.65,5787.17
1.006,1598.85,8733.33
1.008,2142.32,11727.7
1.01,2691.11,14780.6
1.012,3245.22,17903.3
1.014,3804.69,21107.3
1.016,4369.55,24405.1
1.018,4939.81,27810.3
1.02,5515.5,31337.2
1.022,6096.66,35001.4
1.024,6683.29,38820.1
1.026,7275.44,42811.6
1.028,7873.12,46996.2
1.03,8476.36,51396.2
1.032,9085.19,56035.9
1.034,9699.63,60942.4
1.036,10319.7,66145.3
1.038,10945.5,71677.6
1.04,11576.9,77575.9
1.042,12214,83880.7
1.044,12856.9,90637.4
1.046,13505.6,97896.4
1.048,14160,105714
1.05,14820.3,114154
1.052,15486.4,123286
1.054,16158.4,133190
1.056,16836.3,143955
1.058,17520.2,155682
1.06,18209.9,168484
1.062,18905.7,182489
1.064,19607.4,197842
1.066,20315.2,214706
1.068,21029.1,233266
1.07,21749,253734
1.072,22475.1,276350
1.074,23207.2,301385
1.076,23945.6,329150
1.078,24690.1,360002
1.08,25440.9,394345
1.082,26197.9,432644
1.084,26961.2,475432
1.086,27730.8,523322
1.088,28506.7,577015
1.09,29288.9,637324
1.092,30077.6,705182
1.094,30872.6,781669
1.096,31674.1,868034
1.098,32482.1,965724
1.1,33296.5,1.07642e+06
1.102,34117.5,1.20207e+06
1.104,34945,1.34495e+06
1.106,35779.1,1.50771e+06
1.108,36619.8,1.69344e+06
1.11,37467.1,1.90576e+06
1.112,38321.1,2.14891e+06
1.114,39181.7,2.42787e+06
1.116,40049.1,2.74848e+06
1.118,40923.2,3.11764e+06
1.12,41804.1,3.54345e+06
1.122,42691.8,4.03553e+06
1.124,43586.3,4.60523e+06
1.126,44487.7,5.266e+06
1.128,45395.9,6.03385e+06
1.13,46311,6.92779e+06
1.132,47233.1,7.9705e+06
1.134,48162.2,9.18904e+06
1.136,49098.2,1.06158e+07
1.138,50041.3,1.22895e+07
1.14,50991.4,1.42569e+07
1.142,51948.6,1.65738e+07
1.144,52912.9,1.93078e+07
1.146,53884.3,2.25404e+07
1.148,54863,2.63701e+07
1.15,55848.8,3.09163e+07
1.152,56841.8,3.63241e+07
1.154,57842,4.27697e+07
1.156,58849.6,5.04682e+07
1.158,59864.5,5.96821e+07
1.16,60886.7,7.07326e+07
1.162,61916.2,8.40137e+07
1.164,62953.2,1.00009e+08
1.166,63997.6,1.19315e+08
1.168,65049.4,1.42666e+08
1.17,66108.7,1.7097e+08
1.172,67175.6,2.05353e+08
1.174,68250,2.47211e+08
1.176,69331.9,2.98282e+08
1.178,70421.5,3.60731e+08
1.18,71518.6,4.37261e+08
1.182,72623.5,5.3126e+08
1.184,73736,6.46974e+08
1.186,74856.2,7.89743e+08
1.188,75984.2,9.66294e+08
1.19,77120,1.18512e+09
1.192,78263.6,1.45698e+09
1.194,79415,1.79549e+09
1.196,80574.3,2.218e+09
1.198,81741.5,2.74659e+09
1.2,82916.6,3.40944e+09
