Lambda,Passive_Stress(kPa),Total_Stress(kPa),Active_Stress(kPa)
0.7,-144.54,-135.826,8.71417
0.707,-140.845,-131.848,8.99689
0.714,-137.178,-128.019,9.15875
0.721,-133.537,-124.328,9.20922
0.728,-129.921,-120.763,9.15764
0.735,-126.329,-117.316,9.01328
0.742,-122.76,-113.975,8.78521
0.749,-119.213,-110.731,8.4823
0.756,-115.687,-107.574,8.11317
0.763,-112.181,-104.495,7.68617
0.77,-108.693,-101.484,7.20931
0.777,-105.224,-98.5336,6.69031
0.784,-101.772,-95.6351,6.13648
0.791,-98.3354,-92.7806,5.55478
0.798,-94.9146,-89.9629,4.95179
0.805,-91.5085,-87.1748,4.33365
0.812,-88.1162,-84.4101,3.70613
0.819,-84.737,-81.6624,3.07455
0.826,-81.3702,-78.9263,2.44384
0.833,-78.015,-76.1965,1.81851
0.84,-74.6709,-73.4683,1.20264
0.847,-71.3372,-70.7373,0.599942
0.854,-68.0132,-67.9995,0.0136994
0.861,-64.6984,-65.2515,-0.553172
0.868,-61.3921,-62.4902,-1.09813
0.875,-58.0937,-59.7128,-1.619
0.882,-54.8029,-56.9168,-2.11394
0.889,-51.5189,-54.1004,-2.58145
0.896,-48.2413,-51.2616,-3.02031
0.903,-44.9696,-48.3993,-3.42962
0.91,-41.7034,-45.5121,-3.80876
0.917,-38.442,-42.5994,-4.15733
0.924,-35.1852,-39.6604,-4.47519
0.931,-31.9323,-36.6948,-4.76243
0.938,-28.6831,-33.7024,-5.01931
0.945,-25.4371,-30.6834,-5.24628
0.952,-22.1939,-27.6378,-5.44395
0.959,-18.9531,-24.5662,-5.61308
0.966,-15.7143,-21.4688,-5.75456
0.973,-12.4771,-18.3465,-5.86937
0.98,-9.24126,-15.1998,-5.95859
0.987,-6.00634,-12.0297,-6.02338
0.994,-2.77203,-8.83701,-6.06497
1.001,1.43662,-4.64802,-6.08464
1.008,11.7277,5.64399,-6.08368
1.015,22.7437,16.6802,-6.06344
1.022,35.0014,28.9762,-6.02526
1.029,49.1678,43.1973,-5.97048
1.036,66.1453,60.2448,-5.90047
1.043,87.1996,81.383,-5.81653
1.05,114.154,108.434,-5.71999
1.057,149.692,144.08,-5.61211
1.064,197.842,192.348,-5.49415
1.071,264.757,259.39,-5.36729
1.078,360.002,354.769,-5.23272
1.085,498.698,493.606,-5.09152
1.092,705.182,700.237,-4.94476
1.099,1019.33,1014.54,-4.79346
1.106,1507.71,1503.07,-4.63855
1.113,2283.57,2279.09,-4.48093
1.12,3543.45,3539.13,-4.32144
1.127,5635.43,5631.27,-4.16087
1.134,9189.04,9185.04,-3.99992
1.141,15367.7,15363.9,-3.83926
1.148,26370.1,26366.4,-3.67951
1.155,46447.2,46443.6,-3.52123
1.162,84013.7,84010.3,-3.3649
1.169,156134,156131,-3.21098
1.176,298282,298279,-3.05988
1.183,586098,586095,-2.91194
1.19,1.18512e+06,1.18512e+06,-2.76748
1.197,2.46744e+06,2.46743e+06,-2.62675
1.204,5.29248e+06,5.29248e+06,-2.48999
1.211,1.17015e+07,1.17015e+07,-2.35737
1.218,2.66831e+07,2.66831e+07,-2.22905
1.225,6.2788e+07,6.2788e+07,-2.10515
1.232,1.52547e+08,1.52547e+08,-1.98574
1.239,3.8287e+08,3.8287e+08,-1.87088
1.246,9.93246e+08,9.93246e+08,-1.76061
1.253,2.66473e+09,2.66473e+09,-1.65493
1.26,7.39738e+09,7.39738e+09,-1.55382
1.267,2.12599e+10,2.12599e+10,-1.45725
1.274,6.32907e+10,6.32907e+10,-1.36516
1.281,1.95275e+11,1.95275e+11,-1.2775
1.288,6.24764e+11,6.24764e+11,-1.19413
1.295,2.07387e+12,2.07387e+12,-1.115
1.302,7.14623e+12,7.14623e+12,-1.04
1.309,2.55763e+13,2.55763e+13,-0.968
1.316,9.51262e+13,9.51262e+13,-0.896
1.323,3.67874e+14,3.67874e+14,-0.832
1.33,1.48003e+15,1.48003e+15,-0.768
1.337,6.19801e+15,6.19801e+15,-1.024
1.344,2.70322e+16,2.70322e+16,0
1.351,1.22856e+17,1.22856e+17,0
1.358,5.8215e+17,5.8215e+17,0
1.365,2.87766e+18,2.87766e+18,0
1.372,1.48473e+19,1.48473e+19,0
1.379,8.00029e+19,8.00029e+19,0
1.386,4.50455e+20,4.50455e+20,0
1.393,2.65174e+21,2.65174e+21,0
1.4,1.633e+22,1.633e+22,0
