Time,Lambda,Alpha,Stress(kPa),Phase
0,1,0,0,1
1,1.003,0,0.331936,1
2,1.006,0,0.668297,1
3,1.009,0,1.00994,1
4,1.012,0,1.35778,1
5,1.015,0,1.71276,1
6,1.018,0,2.07589,1
7,1.021,0,2.44825,1
8,1.024,0,2.83096,1
9,1.027,0,3.22527,1
10,1.03,0,3.63246,1
11,1.033,0,4.05395,1
12,1.036,0,4.49126,1
13,1.039,0,4.94601,1
14,1.042,0,5.41998,1
15,1.045,0,5.91509,1
16,1.048,0,6.43343,1
17,1.051,0,6.97727,1
18,1.054,0,7.54908,1
19,1.057,0,8.15159,1
20,1.06,0,8.78775,1
21,1.063,0,9.46081,1
22,1.066,0,10.1743,1
23,1.069,0,10.9323,1
24,1.072,0,11.7389,1
25,1.075,0,12.5989,1
26,1.078,0,13.5176,1
27,1.081,0,14.5009,1
28,1.084,0,15.555,1
29,1.087,0,16.687,1
30,1.09,0,17.9049,1
31,1.093,0,19.2173,1
32,1.096,0,20.634,1
33,1.099,0,22.1657,1
34,1.102,0,23.8244,1
35,1.105,0,25.6235,1
36,1.108,0,27.578,1
37,1.111,0,29.7045,1
38,1.114,0,32.0218,1
39,1.117,0,34.5507,1
40,1.12,0,37.3148,1
41,1.123,0,40.3404,1
42,1.126,0,43.657,1
43,1.129,0,47.2981,1
44,1.132,0,51.3011,1
45,1.135,0,55.7085,1
46,1.138,0,60.5681,1
47,1.141,0,65.9339,1
48,1.144,0,71.8673,1
49,1.147,0,78.4376,1
50,1.15,0,85.7236,1
50,1.15,0,85.7236,2
51,1.1472,0,78.2052,2
52,1.1444,0,71.4291,2
53,1.1416,0,65.3147,2
54,1.1388,0,59.7907,2
55,1.136,0,54.7942,2
56,1.1332,0,50.2692,2
57,1.1304,0,46.1665,2
58,1.1276,0,42.4419,2
59,1.1248,0,39.0567,2
60,1.122,0,35.9761,2
61,1.1192,0,33.1692,2
62,1.1164,0,30.6086,2
63,1.1136,0,28.2698,2
64,1.1108,0,26.1309,2
65,1.108,0,24.1723,2
66,1.1052,0,22.3765,2
67,1.1024,0,20.728,2
68,1.0996,0,19.2126,2
69,1.0968,0,17.8177,2
70,1.094,0,16.5321,2
71,1.0912,0,15.3457,2
72,1.0884,0,14.2492,2
73,1.0856,0,13.2345,2
74,1.0828,0,12.2941,2
75,1.08,0,11.4214,2
75,1.08,0,14.1656,3
76,1.08,0.05,21.136,3
77,1.08,0.1,28.1065,3
78,1.08,0.15,35.077,3
79,1.08,0.2,42.0474,3
80,1.08,0.25,49.0179,3
81,1.08,0.3,55.9883,3
82,1.08,0.35,62.9588,3
83,1.08,0.4,69.9292,3
84,1.08,0.45,76.8997,3
85,1.08,0.5,83.8702,3
86,1.08,0.55,90.8406,3
87,1.08,0.6,97.8111,3
88,1.08,0.65,104.782,3
89,1.08,0.7,111.752,3
90,1.08,0.75,118.722,3
91,1.08,0.8,125.693,3
92,1.08,0.85,132.663,3
93,1.08,0.9,139.634,3
94,1.08,0.95,146.604,3
95,1.08,1,153.575,3
95,1.08,1,153.575,4
96,1.0828,1,154.753,4
97,1.0856,1,155.994,4
98,1.0884,1,157.304,4
99,1.0912,1,158.689,4
100,1.094,1,160.156,4
101,1.0968,1,161.715,4
102,1.0996,1,163.374,4
103,1.1024,1,165.143,4
104,1.1052,1,167.033,4
105,1.108,1,169.056,4
106,1.1108,1,171.226,4
107,1.1136,1,173.559,4
108,1.1164,1,176.07,4
109,1.1192,1,178.779,4
110,1.122,1,181.707,4
111,1.1248,1,184.876,4
112,1.1276,1,188.313,4
113,1.1304,1,192.046,4
114,1.1332,1,196.109,4
115,1.136,1,200.537,4
116,1.1388,1,205.371,4
117,1.1416,1,210.656,4
118,1.1444,1,216.444,4
119,1.1472,1,222.793,4
120,1.15,1,229.767,4
120,1.15,1,229.767,5
121,1.147,1,221.58,5
122,1.144,1,214.234,5
123,1.141,1,207.633,5
124,1.138,1,201.689,5
125,1.135,1,196.329,5
126,1.132,1,191.486,5
127,1.129,1,187.102,5
128,1.126,1,183.126,5
129,1.123,1,179.513,5
130,1.12,1,176.223,5
131,1.117,1,173.221,5
132,1.114,1,170.476,5
133,1.111,1,167.96,5
134,1.108,1,165.65,5
135,1.105,1,163.524,5
136,1.102,1,161.562,5
137,1.099,1,159.748,5
138,1.096,1,158.066,5
139,1.093,1,156.502,5
140,1.09,1,155.046,5
141,1.087,1,153.685,5
142,1.084,1,152.41,5
143,1.081,1,151.214,5
144,1.078,1,150.087,5
145,1.075,1,149.023,5
146,1.072,1,148.016,5
147,1.069,1,147.06,5
148,1.066,1,146.151,5
149,1.063,1,145.283,5
150,1.06,1,144.453,5
151,1.057,1,143.657,5
152,1.054,1,142.892,5
153,1.051,1,142.154,5
154,1.048,1,141.442,5
155,1.045,1,140.752,5
156,1.042,1,140.083,5
157,1.039,1,139.432,5
158,1.036,1,138.797,5
159,1.033,1,138.178,5
160,1.03,1,137.571,5
161,1.027,1,136.978,5
162,1.024,1,136.394,5
163,1.021,1,135.821,5
164,1.018,1,135.257,5
165,1.015,1,134.7,5
166,1.012,1,134.15,5
167,1.009,1,133.607,5
168,1.006,1,133.069,5
169,1.003,1,132.535,5
170,1,1,132.007,5
