Lambda,Sigma_Passive(Pa),Sigma_Active(Pa)
1,0,102084
1.0015,395.293,103224
1.003,793.525,104349
1.0045,1194.71,105459
1.006,1598.85,106553
1.0075,2005.96,107632
1.009,2416.05,108695
1.0105,2829.14,109743
1.012,3245.22,110775
1.0135,3664.32,111792
1.015,4086.45,112793
1.0165,4511.61,113777
1.018,4939.81,114746
1.0195,5371.07,115699
1.021,5805.4,116636
1.0225,6242.8,117557
1.024,6683.29,118461
1.0255,7126.88,119350
1.027,7573.59,120222
1.0285,8023.41,121077
1.03,8476.36,121917
1.0315,8932.46,122739
1.033,9391.71,123546
1.0345,9854.12,124335
1.036,10319.7,125108
1.0375,10788.5,125864
1.039,11260.5,126604
1.0405,11735.6,127327
1.042,12214,128032
1.0435,12695.7,128721
1.045,13180.5,129393
1.0465,13668.7,130048
1.048,14160,130686
1.0495,14654.7,131306
1.051,15152.7,131910
1.0525,15653.9,132496
1.054,16158.4,133065
1.0555,16666.3,133617
1.057,17177.5,134151
1.0585,17692,134668
1.06,18209.9,135167
1.0615,18731.2,135649
1.063,19255.8,136114
1.0645,19783.8,136561
1.066,20315.2,136990
1.0675,20850,137402
1.069,21388.3,137796
1.0705,21929.9,138173
1.072,22475.1,138532
1.0735,23023.6,138873
1.075,23575.6,139196
1.0765,24131.1,139501
1.078,24690.1,139789
1.0795,25252.6,140059
1.081,25818.6,140311
1.0825,26388.1,140544
1.084,26961.2,140761
1.0855,27537.8,140959
1.087,28117.9,141139
1.0885,28701.6,141301
1.09,29288.9,141445
1.0915,29879.8,141571
1.093,30474.3,141679
1.0945,31072.4,141769
1.096,31674.1,141840
1.0975,32279.5,141894
1.099,32888.5,141930
1.1005,33501.2,141947
1.102,34117.5,141947
1.1035,34737.5,141928
1.105,35361.2,141891
1.1065,35988.6,141836
1.108,36619.8,141762
1.1095,37254.7,141671
1.111,37893.3,141561
1.1125,38535.6,141433
1.114,39181.7,141287
1.1155,39831.6,141123
1.117,40485.3,140940
1.1185,41142.8,140739
1.12,41804.1,140520
1.1215,42469.2,140283
1.123,43138.2,140028
1.1245,43811,139754
1.126,44487.7,139463
1.1275,45168.2,139153
1.129,45852.6,138825
1.1305,46540.9,138479
1.132,47233.1,138114
1.1335,47929.3,137732
1.135,48629.3,137331
1.1365,49333.3,136912
1.138,50041.3,136475
1.1395,50753.2,136020
1.141,51469.1,135547
1.1425,52189,135056
1.144,52912.9,134547
1.1455,53640.8,134019
1.147,54372.8,133474
1.1485,55108.7,132911
1.15,55848.8,132329
1.15,55848.8,132329
1.1485,53592.6,132061
1.147,51401.3,131768
1.1455,49275.9,131452
1.144,47217,131113
1.1425,45225.2,130752
1.141,43300.4,130369
1.1395,41442.7,129965
1.138,39651.6,129540
1.1365,37926.5,129095
1.135,36266.8,128631
1.1335,34671.3,128148
1.132,33139.1,127647
1.1305,31668.7,127127
1.129,30258.8,126591
1.1275,28908,126038
1.126,27614.5,125468
1.1245,26376.8,124883
1.123,25193.1,124283
1.1215,24061.6,123668
1.12,22980.6,123039
1.1185,21948.3,122397
1.117,20962.8,121741
1.1155,20022.4,121073
1.114,19125.2,120393
1.1125,18269.5,119702
1.111,17453.6,118999
1.1095,16675.7,118286
1.108,15934.2,117562
1.1065,15227.5,116829
1.105,14554,116087
1.1035,13912,115335
1.102,13300.3,114576
1.1005,12717.3,113808
1.099,12161.7,113033
1.0975,11632.1,112250
1.096,11127.3,111461
1.0945,10646,110666
1.093,10187,109864
1.0915,9749.38,109056
1.09,9331.89,108244
1.0885,8933.57,107426
1.087,8553.43,106603
1.0855,8190.55,105776
1.084,7844.05,104945
1.0825,7513.09,104110
1.081,7196.85,103272
1.0795,6894.59,102430
1.078,6605.58,101586
1.0765,6329.13,100738
1.075,6064.59,99888.2
1.0735,5811.35,99036
1.072,5568.81,98181.7
1.0705,5336.42,97325.6
1.069,5113.66,96467.8
1.0675,4900.02,95608.6
1.066,4695.03,94748.1
1.0645,4498.23,93886.5
1.063,4309.22,93024
1.0615,4127.57,92160.6
1.06,3952.91,91296.6
1.0585,3784.87,90432.1
1.057,3623.12,89567.3
1.0555,3467.32,88702.2
1.054,3317.17,87836.9
1.0525,3172.38,86971.6
1.051,3032.66,86106.4
1.0495,2897.76,85241.3
1.048,2767.43,84376.5
1.0465,2641.42,83512
1.045,2519.52,82647.9
1.0435,2401.51,81784.2
1.042,2287.18,80921
1.0405,2176.35,80058.4
1.039,2068.84,79196.3
1.0375,1964.46,78335
1.036,1863.06,77474.2
1.0345,1764.47,76614.2
1.033,1668.55,75754.9
1.0315,1575.15,74896.4
1.03,1484.14,74038.6
1.0285,1395.38,73181.6
1.027,1308.76,72325.3
1.0255,1224.15,71469.9
1.024,1141.44,70615.2
1.0225,1060.53,69761.2
1.021,981.3,68908
1.0195,903.663,68055.6
1.018,827.52,67203.8
1.0165,752.778,66352.8
1.015,679.351,65502.4
1.0135,607.151,64652.7
1.012,536.099,63803.6
1.0105,466.115,62955.1
1.009,397.122,62107.2
1.0075,329.047,61259.8
1.006,261.818,60412.8
1.0045,195.365,59566.3
1.003,129.621,58720.2
1.0015,64.5211,57874.4
1,0,57028.9
