Lambda,Passive_Poly(Pa),Passive_Exp(Pa),Active_Plasticity(Pa),Active_Stimulation(Pa)
1,0,0,161732,102084
1.002,527.71,20.6183,165890,103601
1.004,1060.65,41.4286,170083,105091
1.006,1598.85,62.464,174313,106553
1.008,2142.32,83.7584,178580,107988
1.01,2691.11,105.347,182883,109396
1.012,3245.22,127.267,187224,110775
1.014,3804.69,149.556,191602,112127
1.016,4369.55,172.253,196017,113451
1.018,4939.81,195.401,200469,114746
1.02,5515.5,219.043,204960,116013
1.022,6096.66,243.225,209488,117252
1.024,6683.29,267.994,214054,118461
1.026,7275.44,293.402,218658,119642
1.028,7873.12,319.501,223301,120794
1.03,8476.36,346.349,227983,121917
1.032,9085.19,374.004,232703,123010
1.034,9699.63,402.53,237462,124074
1.036,10319.7,431.995,242260,125108
1.038,10945.5,462.469,247097,126113
1.04,11576.9,494.029,251973,127088
1.042,12214,526.755,256890,128032
1.044,12856.9,560.734,261846,128947
1.046,13505.6,596.057,266842,129831
1.048,14160,632.824,271878,130686
1.05,14820.3,671.138,276954,131509
1.052,15486.4,711.113,282071,132302
1.054,16158.4,752.869,287228,133065
1.056,16836.3,796.536,292426,133797
1.058,17520.2,842.252,297666,134497
1.06,18209.9,890.166,302946,135167
1.062,18905.7,940.439,308268,135806
1.064,19607.4,993.243,313631,136414
1.066,20315.2,1048.76,319036,136990
1.068,21029.1,1107.2,324483,137536
1.07,21749,1168.77,329972,138049
1.072,22475.1,1233.7,335503,138532
1.074,23207.2,1302.24,341076,138982
1.076,23945.6,1374.68,346692,139401
1.078,24690.1,1451.29,352351,139789
1.08,25440.9,1532.39,358053,140145
1.082,26197.9,1618.34,363798,140468
1.084,26961.2,1709.5,369586,140761
1.086,27730.8,1806.27,375418,141021
1.088,28506.7,1909.09,381294,141249
1.09,29288.9,2018.43,387213,141445
1.092,30077.6,2134.81,393176,141609
1.094,30872.6,2258.79,399184,141741
1.096,31674.1,2390.98,405236,141840
1.098,32482.1,2532.04,411333,141908
1.1,33296.5,2682.68,417474,141943
1.102,34117.5,2843.7,423660,141947
1.104,34945,3015.95,429892,141917
1.106,35779.1,3200.37,436169,141856
1.108,36619.8,3397.97,442491,141762
1.11,37467.1,3609.87,448859,141636
1.112,38321.1,3837.28,455273,141478
1.114,39181.7,4081.54,461733,141287
1.116,40049.1,4344.11,468239,141064
1.118,40923.2,4626.58,474792,140808
1.12,41804.1,4930.7,481391,140520
1.122,42691.8,5258.4,488037,140200
1.124,43586.3,5611.78,494731,139848
1.126,44487.7,5993.14,501471,139463
1.128,45395.9,6405.05,508259,139045
1.13,46311,6850.29,515094,138596
1.132,47233.1,7331.95,521977,138114
1.134,48162.2,7853.42,528908,137600
1.136,49098.2,8418.43,535887,137054
1.138,50041.3,9031.11,542915,136475
1.14,50991.4,9696.01,549991,135864
1.142,51948.6,10418.2,557115,135222
1.144,52912.9,11203.1,564289,134547
1.146,53884.3,12057,571512,133839
1.148,54863,12986.7,578784,133100
1.15,55848.8,13999.7,586105,132329
1.152,56841.8,15104.4,593476,131526
1.154,57842,16310,600897,130692
1.156,58849.6,17626.9,608368,129825
1.158,59864.5,19066.5,615890,128926
1.16,60886.7,20641.5,623461,127996
1.162,61916.2,22366.2,631084,127035
1.164,62953.2,24256.3,638757,126041
1.166,63997.6,26329.4,646481,125017
1.168,65049.4,28605.1,654257,123960
1.17,66108.7,31105.5,662084,122873
1.172,67175.6,33855,669962,121754
1.174,68250,36880.9,677892,120604
1.176,69331.9,40214.1,685875,119423
1.178,70421.5,43888.9,693909,118211
1.18,71518.6,47943.8,701996,116968
1.182,72623.5,52422,710136,115694
1.184,73736,57372.2,718328,114390
1.186,74856.2,62848.9,726573,113055
1.188,75984.2,68913.6,734872,111689
1.19,77120,75635.3,743223,110293
1.192,78263.6,83092.1,751629,108867
1.194,79415,91371.8,760088,107410
1.196,80574.3,100574,768601,105924
1.198,81741.5,110810,777169,104407
1.2,82916.6,122207,785790,102861
