Lambda,Neo_Circ,Neo_Axial,Paetsch_Circ,Paetsch_Axial,Zhao_Circ,Zhao_Axial
1,0,0,0,0,0,0
1.0015,0.746223,0.746223,12.1327,14.3833,2.31995,2.631
1.003,1.48911,1.48911,24.3475,28.8655,4.65434,5.27995
1.0045,2.22871,2.22871,36.6447,43.4471,7.0094,7.9543
1.006,2.96503,2.96503,49.0247,58.1284,9.39152,10.6617
1.0075,3.69812,3.69812,61.4877,72.9098,11.8074,13.4102
1.009,4.42801,4.42801,74.0341,87.7918,14.2639,16.208
1.0105,5.15473,5.15473,86.6643,102.775,16.7685,19.064
1.012,5.87832,5.87832,99.3785,117.859,19.3287,21.9872
1.0135,6.59879,6.59879,112.177,133.045,21.9528,24.9876
1.015,7.31619,7.31619,125.061,148.333,24.6494,28.0753
1.0165,8.03054,8.03054,138.029,163.724,27.4277,31.2616
1.018,8.74188,8.74188,151.083,179.217,30.2977,34.5583
1.0195,9.45023,9.45023,164.223,194.814,33.27,37.978
1.021,10.1556,10.1556,177.449,210.515,36.356,41.5345
1.0225,10.8581,10.8581,190.762,226.32,39.5682,45.2427
1.024,11.5577,11.5577,204.161,242.229,42.9199,49.1187
1.0255,12.2544,12.2544,217.648,258.244,46.4258,53.1798
1.027,12.9482,12.9482,231.222,274.363,50.1016,57.445
1.0285,13.6393,13.6393,244.883,290.589,53.9648,61.9351
1.03,14.3275,14.3275,258.633,306.921,58.0341,66.6727
1.0315,15.013,15.013,272.472,323.359,62.3303,71.6826
1.033,15.6958,15.6958,286.4,339.904,66.876,76.9918
1.0345,16.3759,16.3759,300.416,356.557,71.6961,82.6302
1.036,17.0532,17.0532,314.523,373.318,76.818,88.6306
1.0375,17.728,17.728,328.719,390.186,82.2719,95.029
1.039,18.4001,18.4001,343.005,407.164,88.0908,101.865
1.0405,19.0696,19.0696,357.382,424.25,94.3116,109.183
1.042,19.7366,19.7366,371.85,441.446,100.975,117.031
1.0435,20.401,20.401,386.409,458.751,108.125,125.464
1.045,21.0628,21.0628,401.06,476.167,115.812,134.54
1.0465,21.7222,21.7222,415.803,493.694,124.092,144.325
1.048,22.3791,22.3791,430.638,511.331,133.025,154.894
1.0495,23.0336,23.0336,445.566,529.08,142.679,166.327
1.051,23.6856,23.6856,460.587,546.941,153.131,178.715
1.0525,24.3352,24.3352,475.701,564.914,164.464,192.161
1.054,24.9825,24.9825,490.909,583,176.774,206.775
1.0555,25.6274,25.6274,506.211,601.199,190.165,222.686
1.057,26.2699,26.2699,521.608,619.512,204.755,240.032
1.0585,26.9102,26.9102,537.099,637.938,220.676,258.974
1.06,27.5482,27.5482,552.685,656.479,238.075,279.686
1.0615,28.1839,28.1839,568.367,675.134,257.119,302.368
1.063,28.8174,28.8174,584.144,693.905,277.993,327.242
1.0645,29.4486,29.4486,600.018,712.791,300.906,354.56
1.066,30.0777,30.0777,615.988,731.793,326.093,384.601
1.0675,30.7046,30.7046,632.055,750.912,353.821,417.685
1.069,31.3293,31.3293,648.219,770.147,384.387,454.169
1.0705,31.9519,31.9519,664.48,789.5,418.13,494.458
1.072,32.5724,32.5724,680.84,808.97,455.431,539.009
1.0735,33.1908,33.1908,697.297,828.559,496.722,588.34
1.075,33.8071,33.8071,713.854,848.265,542.495,643.037
1.0765,34.4214,34.4214,730.509,868.091,593.303,703.766
1.078,35.0336,35.0336,747.263,888.036,649.777,771.282
1.0795,35.6439,35.6439,764.117,908.101,712.637,846.445
1.081,36.2521,36.2521,781.071,928.285,782.698,930.233
1.0825,36.8584,36.8584,798.126,948.591,860.891,1023.76
1.084,37.4628,37.4628,815.281,969.017,948.279,1128.3
1.0855,38.0652,38.0652,832.537,989.565,1046.08,1245.31
1.087,38.6657,38.6657,849.894,1010.23,1155.67,1376.45
1.0885,39.2643,39.2643,867.353,1031.03,1278.65,1523.62
1.09,39.861,39.861,884.914,1051.94,1416.85,1689.01
1.0915,40.4558,40.4558,902.578,1072.98,1572.35,1875.13
1.093,41.0489,41.0489,920.344,1094.14,1747.57,2084.87
1.0945,41.6401,41.6401,938.214,1115.42,1945.28,2321.53
1.096,42.2295,42.2295,956.187,1136.83,2168.66,2588.95
1.0975,42.8171,42.8171,974.264,1158.36,2421.42,2891.55
1.099,43.403,43.403,992.445,1180.02,2707.8,3234.42
1.1005,43.9871,43.9871,1010.73,1201.81,3032.74,3623.47
1.102,44.5695,44.5695,1029.12,1223.72,3401.95,4065.54
1.1035,45.1501,45.1501,1047.62,1245.75,3822.06,4568.56
1.105,45.7291,45.7291,1066.22,1267.92,4300.75,5141.76
1.1065,46.3064,46.3064,1084.93,1290.21,4846.99,5795.85
1.108,46.882,46.882,1103.74,1312.63,5471.2,6543.32
1.1095,47.456,47.456,1122.66,1335.17,6185.54,7398.74
1.111,48.0284,48.0284,1141.69,1357.85,7004.22,8379.12
1.1125,48.5991,48.5991,1160.82,1380.65,7943.85,9504.36
1.114,49.1682,49.1682,1180.06,1403.59,9023.9,10797.8
1.1155,49.7358,49.7358,1199.41,1426.65,10267.2,12286.7
1.117,50.3018,50.3018,1218.87,1449.84,11700.5,14003.1
1.1185,50.8662,50.8662,1238.44,1473.17,13355.3,15985
1.12,51.4291,51.4291,1258.12,1496.62,15268.9,18276.6
1.1215,51.9905,51.9905,1277.91,1520.21,17484.9,20930.5
1.123,52.5503,52.5503,1297.8,1543.93,20055.2,24008.7
1.1245,53.1087,53.1087,1317.81,1567.78,23040.8,27584.3
1.126,53.6656,53.6656,1337.93,1591.76,26514.3,31744.3
1.1275,54.2211,54.2211,1358.15,1615.88,30561.8,36591.6
1.129,54.7751,54.7751,1378.49,1640.13,35285.3,42248.6
1.1305,55.3276,55.3276,1398.94,1664.51,40806.5,48861
1.132,55.8788,55.8788,1419.51,1689.03,47270.3,56602.3
1.1335,56.4285,56.4285,1440.18,1713.68,54849.7,65679.6
1.135,56.9769,56.9769,1460.97,1738.47,63751.4,76340.6
1.1365,57.5239,57.5239,1481.87,1763.4,74222.8,88881.7
1.138,58.0695,58.0695,1502.89,1788.46,86560.9,103658
1.1395,58.6138,58.6138,1524.02,1813.66,101122,121097
1.141,59.1567,59.1567,1545.26,1838.99,118334,141711
1.1425,59.6983,59.6983,1566.62,1864.46,138714,166120
1.144,60.2386,60.2386,1588.09,1890.07,162885,195068
1.1455,60.7776,60.7776,1609.68,1915.82,191599,229457
1.147,61.3154,61.3154,1631.38,1941.71,225768,270379
1.1485,61.8518,61.8518,1653.2,1967.74,266496,319157
1.15,62.3871,62.3871,1675.14,1993.9,315123,377395
